city,company,date,detail,function,industry,job,level,state,title,type
whippany,barclays,2022-06-14,data engineer whippany nj barclays data engineer part new forces contribute driving data analytics automation data engineering innovations improving data platform infrastructure elements banking technology data insight application portfolio serving banking analysts data scientists data needs identify opportunities improve banking ability scale analytical data infrastructure operational efficiency barclays one worlds largest respected financial institutions 329 years success quality innovation behind us offer careers provide endless opportunity helping millions individuals businesses thrive creating financial digital solutions world takes granted applying sophisticated sql query retrieve needed data vast pool market data sets support new front office business application development supporting identity resolution initiatives across data platform architecting modern data platform designing data pipelines continued expansion data platform mission deployed code performant wellstyled documented applying technical experience data engineering concepts including etl data cleansing transformation partitioning working business analysts support maintenance traceability requirements phases project lifecycle participating education knowledge transfer sessions project teams wider barclays data community looking computer science mis business analytics majors master degree preferred extensive experience sql centric data engineering role handson tableau sap business object handson programming skills pytho skills help role experience aws cloud infrastructure containers openshift dockerkubernetes ideal essential experience creating api endpoints serve data applications knowledge experience working graph database neo4j working barclays proud redefining future finance whippany defining future workplace future way work live creating unique community one four strategic techenabled hubs redefine opportunity everyone works whatever whippany every chance build worldclass career worldclass environment 90327171 ,information technology,banking and financial services,data engineer,mid-senior level, nj,data engineer,full-time
chicago,addison group,2022-06-17,our chicagobased client seeking data entry analyst join team contract basis ideal candidates energetic analytical excellent attention detail contract type 6 month contract hourly pay 17hr location downtown chicago hybrid job responsibilities preparing data computer entry assembling organizing information creating entry priorities handling materials containing highly confidential information providing support data entry additional administrative tasks following techniques procedures data program meeting data entry requirements transferring data receipts database qa team electronic formats spreadsheets database systems verifying data comparing source documentslocations skillsknowledge required excellent knowledge spreadsheets ms office tools basic knowledge statistics statistical tools great attention detail proficient typing data entry skills proficient accuracy ability concentrate lengthy periods perform accurately adequate speed ,administrative,"advertising services, market research, and financial services",data specialist,associate, il,data entry specialist,contract
san francisco,constructor,2022-06-06,about us constructorio powers product search discovery largest retailers world like sephora backcountry serving billions requests every year likely used product without knowing year growing revenue scale several multiples helping customers every ecommerce vertical worldwide love working together help succeed committed maintaining open cooperative culture grow get correct answer empathy ownership passion making impact data pipeline team within data science engineering integral unit serves internal stakeholders develops easytouse platform engineers create schedule run data workloads mainly focus developer experience ml ds folks systems performance robustness costeffectiveness data science engineering consist mix data engineers analysts owning collaborating multiple projects data pipeline team member use worldclass analytical engineering data processing techniques build foundational infrastructure tooling analytical capabilities enable business move forward challenges tackle build platform enable data teams iterate fast write execute data workloads reliably robustly ensure high data quality integrity across multiple data sources automate data validation make infrastructure costs observable transparent effective requirements skilled building maintaining data ingestion pipelines excel apache spark excel python scala java proficiency variant sql deep experience big data stack data query engines metadata stores schedulers data queues etc capable designing engineering data platform processes basic knowledge cloud services like aws ec2 s3 glue iam athena lambda ecs knowledgeable comes different types data storages use cases trade offs benefits unlimited vacation time strongly encourage employees take least 3 weeks per year competitive compensation package including stock options company sponsored us health coverage 100 paid employee fully remote team choose live work home stipend want resources need set home office apple laptops provided new employees training development budget every employee refreshed year maternity paternity leave qualified employees work smart people help grow make meaningful impact diversity equity inclusion constructor constructorio committed cultivating work environment diverse equitable inclusive equal opportunity employer welcome individuals backgrounds provide equal opportunities applicants regardless education diversity opinion race color religion gender gender expression sexual orientation national origin genetics disability age veteran status affiliation protected group ,engineering,software development,data engineer,mid-senior level, ca,data engineer: data pipeline team,full-time
el segundo,techfetch.com - on demand tech workforce hiring platform,2022-06-17,all jobs us based candidates must us valid us work authorization please apply website directly job title senior data analyst job id 37854 location el segundo ca 90245 duration 6 months possible extensions interview process phonewebex number positions 1 directv position remote position manager prefers local need report back office data analyst required skills sql data mining coding excel big datasets modeling powerpoint visualization top 5 skills additional job posting description details top 5 skills sql database digging role would focused data support upcoming product enhancement analysis analytical thinking preexisting solutions request candidate able find way figure explain based open question raw data excel formulas working big datasets manual modeling agility group located product marketing analytical function covers much business needs sales enablement viewership analytics supply chain ideal candidate open learn different aspects business agile prioritization requests work communicability able list summarize findings communicate different format leadership groups sql data mining coding excel big datasets modeling powerpoint visualization flexibilityfastlearning communicability detailing scope roles responsibilities data analyst senior roles responsibilities include limited conducting full lifecycle analysis include requirements activities design data analysts develop analysis reporting capabilities monitor performance quality control plans identify improvements ability turn project requirements customformatted data reports able complete life cycle data generation outline critical information project manager able analyze business procedures recommend specific types data used improve upon create prioritized list needs business segment area focus identify recommend new ways save money streamlining processes work managers outline specific data needs business method analysis project ,information technology,it services and it consulting,data analyst,associate, ca,senior data analyst,part-time
houston,primary services,2022-06-17,become essential member nrg machine learning analyst deep diving world machine learning making decisions impact company nrg aims promote customized offerings right product offered right channel right message right time current prospective customer accomplish leverage data via predictive modeling statistical analyses optimization love data programming creative problem solving communicating results fit right responsibilities apply statistical modeling machine learning algorithms optimize marketing efforts respect customer acquisition retention customer experience margin enhancement lead help develop junior analysts work marketing team plan analyze ab tests quantify effects various marketing levers produce models predict consumer behavior responses various marketing levers help executives monitor pulse business automating reports key performance indicators develop useful visualizations translate communicate present results recommendations nontechnical audience required education bachelors degree statistics computer science economics engineering mathematics operations research required advanced degree ms phd quantitative field strongly preferred statistics computer science economics engineering mathematics operations research preferred experience 3 years statistical modeling quantitative analysis industry full time academic research previous retail electricity market experience preferred previous marketing experience preferred experience analyzing weblog data plus kaggle competition experience also plus done interesting analytics projects fun would love see technical skills statistical modeling analysis skills solid understanding graduate level multivariate statistical techniques sampling methods multivariant regression anova factor analysis cluster analysis principal components analysis strong general programming skills proficiency python including pandas scikitlearn strong sql skills understanding relational databases excel guru comfortable working linux git version control r programming plus bayesian statistics plus survival modeling plus 86917 ,"information technology, analyst, and engineering","renewable energy semiconductor manufacturing, oil and gas, and utilities",data scientist,mid-senior level, tx,data scientist machine learning,full-time
wilmington,entech,2022-06-17,going digital requires holistic thinking puts humans center everything entech delivers complete solutions including strategies technologies implementation services master digital convergence integrate unique outsidein approach people processes technology orchestrate digital empowerment address todays business challenges entech seeking data scienceanalyst lead manufacturing data science team perform program management qualifications 10 years experience 5 years leadership program management role senior player strong datatechnical background work business leaders confirm requirements challenge assumptions explain technical possibilities limitations good understanding data engineering data sources data formats familiarity data science various models handson understands technical data architecture work technical team members explain business needs entech equal opportunity employer benefits medical dental vision benefits 401k paid time role available sponsorship work corptocorp ,engineering and information technology,it services and it consulting,data analyst,mid-senior level, de,manufacturing data analyst lead,full-time
st paul,enterprise solutions inc.,2022-06-17,job title aws data engineer aws s3 aethna emr ec2 python spark pyspark location hartford connecticut st paul minnesota job description overview data engineering team constructs pipelines contextualize provide easy access data entire enterprise data engineer play key role growing transforming analytics landscape looking data migration engineer experience migrating data prem cloud requirements candidate must experienced working projects involving data migration aws experience data migration onprem databases aws cloud s3 understands obtain information needed make appropriate decisions demonstrates ability break problem manageable pieces implement effective timely solutions identifies problem versus symptoms manages problems require involvement others solve reaches sound decisions quickly develops solutions meet business needs reflect clear understanding objectives practices procedures corporation department business unit must aws s3 aethna emr ec2 python spark pyspark good snowflake roles responsibilities acts single point contact data migration aws projects customer provides innovative costeffective solution using aws spark python customer suggested toolset optimizes use available resources develops solutions meet business needs reflect clear understanding objectives practices procedures corporation department business unit leader cloud engineering responsible overseeing development learnadapt quickly new technologies per business need develop team operations excellence building tools capabilities development teams leverage maintain high levels performance scalability security availability skills candidate must 35 yrs experience aws pyspark python hands experience aws cloud platform especially s3 lamda ec2 emr experience spark scripting working knowledge migrating relational dimensional databases aws cloud platform relevant experience etl methods retrieving data dimensional data models data warehouses strong experience relational databases data access methods especially sql knowledge amazon aws architecture design minimum qualifications bachelor degree equivalent training data tools techniques manipulation four years data engineering equivalent experience ,None,None,data engineer,None, mn,senior data engineer,contract
austin,apple,2022-06-11,summary imagine could apple new ideas way becoming great products services customer experiences quickly bring passion dedication job theres telling could accomplish infrastructure services software development team looking passionate selfmotivated hardworking engineer part diverse fast paced highenergy team seeking experienced data engineer build high quality scalable resilient distributed systems power analytics platform data pipelines responsible developing key components platform collaborate crossfunctional teams gather requirements mentor junior members team contributing key innovative technology supports major apple applications scalability highavailability requirements entails key qualifications highly experienced battle tested least 5 years experience leading core contributor data processing projects proven record designing implementing scalable performant data pipelines data services data products programming experience building high quality software hands role skills python java shell preferred proficiency kafka spark mppno sql databases like redshift snowflake large scale environment strong sql writing skills strong aptitude learning new technologies related data management data science work noisy dirty unstructured data data cleansing scraping unstructured data converting structured data evaluate benchmark improve scalability robustness efficiency performance big data platform applications experience building reports using tools like tableau microstrategy knowledge engineering machine learning feature engineering systems plus description role responsible building big data platform using combination integration framework big data processing technologies strong understanding distributed systems experience using open source framework build applications required senior member team expected take ownership individual platform components help set vision architecture process identify requirements new features propose design drive solution education experience bs ms computer science mathematics statistics equivalent industry experience role number 200387684 ,information technology,computers and electronics manufacturing,data engineer,not applicable, tx,data engineer,full-time
troy,trucenta,2022-06-08,job summary actively seeking skilled motivated data scientist support multiple projects company wide rely build data products extract valuable business insights role highly analytical knack analysis math statistics critical thinking problemsolving skills essential interpreting data also want see passion machinelearning research goal help company analyze trends make better decisions position reports directly director key responsibilities include interpret large amounts complex data formulate problem statements concise conclusions regarding underlying risk dynamics trends opportunities identify key risk indicators metrics developing monitoring key parameters enhance reporting identify new areas analytic focus better understand operational risk coordinates research analytic activities utilizing various data points unstructured structured employ programming clean massage organize data experiments data points provide information based experiment results provide previously undiscovered solutions command data challenges build predictive models machinelearning algorithms combine models ensemble modeling leads data experiments tasked team develops methodology processes prioritization scheduling projects analyzes problems determines root causes devise utilize algorithms models mine big data stores perform data error analysis improve models clean validate data uniformity accuracy analyze data trends patterns interpret data clear objective mind communicate analytic solutions stakeholders implement improvements needed operational systems present information using data visualization techniques requirements local candidates relocation provided position site proven handson experience datafocused role product analytics business analytics business operations data science education engineering computer science math economics statistics equivalent experience proven track record handle large datasets explore apply raw data feeds excellent data visualization skills love data go get data need turn insightful story experience excel powerpoint tableau sql programming languages ie javapython sas advanced analytical knowledge data understanding machinelearning operations research conducting big data analysis data conditioning programming advanced computing developing algorithms developing software data models executing predictive analytics comfort working dynamic researchoriented group several ongoing concurrent projects analytical mind business acumen strong math skills eg statistics algebra problemsolving aptitude excellent communication presentation skills ,None,None,data scientist,None, mi,data scientist,full-time
san francisco,jobot,2022-06-17,work one fortunes best workplaces technology jobot job hosted karyn spies fit easy apply clicking apply button sending us resume salary 150000 per year bit us leading data connectivity platform mission make safe easy businesses use data effectively believe connected data power change world platform powers insights experiences centered around needs real people ways keep internet open thrive building together curiosity humility good bit fun along way always looking smart kind creative people grow team impact join us flexible paid time paid holidays remote work paid parental leave medical dental vision life disability long term care accident critical illness insurance pretax accounts reimbursement program provide flexibility choice 375quarter fitness emotional financial family travel entertainment convenience security expenses 401k match employee stock purchase plan comprehensive office equipment ergonomics program provide equipment tools productive self matter youre located job details lead team highly talented collaborative engineers build products enable us clients honor consumer privacy data access choices across ecosystem spend 50 time managing team 50 hands development lead engineering projects entire software development life cycle partnership team members engineering product data ethics work across teams ensure consumer requests respected across entire suite products design systems translating legal guidance data ethics team based interpretations current active legislation well anticipate prepare future laws build accessible intuitive user interfaces architect new systems design apis champion engineering best practices standards bring 5 years handson development experience technologies tech stack golang typescript react terraform docker kubernetes gcp 1 years experience leading engineering teams large engineering projects strong leadership skills proven ability deliver projects technical lead passion track record leading teams deliver scalable services apis infrastructures lead endtoend development release application service experience coaching mentoring junior developers interested hearing easy apply clicking apply button ,engineering and information technology,it services and it consulting and software development,None,mid-senior level, ca,lead software engineer full stack,full-time
